////////////////// KILLED UNITS DATA /////////////////////

Td  	ID  	Tj  	Df  	Dd  	Db
5899   	686   	727   	760   	4412   	5172
5899   	681   	721   	0   	5178   	5178
5899   	680   	720   	0   	5179   	5179
5899   	679   	720   	825   	4354   	5179
5899   	673   	712   	0   	5187   	5187
5899   	669   	708   	0   	5191   	5191
5899   	573   	575   	65   	5259   	5324
5899   	571   	575   	1002   	4322   	5324
5899   	557   	552   	15   	5332   	5347
5899   	551   	547   	0   	5352   	5352
5899   	549   	545   	0   	5354   	5354
5899   	546   	545   	1075   	4279   	5354
5899   	532   	529   	1099   	4271   	5370
5899   	528   	526   	0   	5373   	5373
5899   	523   	520   	5   	5374   	5379
5899   	521   	520   	1131   	4248   	5379
5899   	518   	519   	0   	5380   	5380
5899   	514   	518   	0   	5381   	5381
5899   	506   	517   	0   	5382   	5382
5899   	457   	474   	0   	5425   	5425
5899   	454   	466   	0   	5433   	5433
5899   	448   	464   	0   	5435   	5435
5899   	447   	464   	1278   	4157   	5435
5899   	441   	459   	2   	5438   	5440
5899   	422   	439   	16   	5444   	5460
5899   	418   	435   	0   	5464   	5464
5899   	415   	431   	0   	5468   	5468
5899   	404   	425   	0   	5474   	5474
5899   	373   	394   	0   	5505   	5505
5899   	372   	394   	1451   	4054   	5505
5899   	366   	380   	1477   	4042   	5519
5899   	348   	364   	9   	5526   	5535
5899   	335   	349   	0   	5550   	5550
5899   	327   	346   	0   	5553   	5553
5899   	325   	341   	0   	5558   	5558
5899   	323   	341   	1548   	4010   	5558
5899   	321   	341   	1558   	4000   	5558
5899   	314   	338   	0   	5561   	5561
5899   	312   	338   	1584   	3977   	5561
5899   	303   	319   	0   	5580   	5580
5899   	302   	319   	1621   	3959   	5580
5899   	299   	315   	0   	5584   	5584
5899   	297   	315   	1644   	3940   	5584
5899   	296   	315   	1650   	3934   	5584
5899   	284   	300   	0   	5599   	5599
5899   	283   	300   	1686   	3913   	5599
5899   	272   	286   	8   	5605   	5613
5899   	263   	284   	0   	5615   	5615
5899   	215   	227   	0   	5672   	5672
5899   	213   	227   	1795   	3877   	5672
5899   	208   	226   	0   	5673   	5673
5899   	205   	224   	0   	5675   	5675
5899   	203   	224   	1815   	3860   	5675
5899   	202   	224   	1823   	3852   	5675
5899   	184   	216   	0   	5683   	5683
5899   	199   	223   	0   	5676   	5676
5899   	178   	197   	13   	5689   	5702
5899   	181   	216   	1846   	3837   	5683
5899   	148   	181   	0   	5718   	5718
5899   	128   	173   	0   	5726   	5726
5899   	121   	164   	13   	5722   	5735
5899   	66   	70   	89   	5740   	5829
5899   	146   	181   	1891   	3827   	5718
5899   	65   	61   	0   	5838   	5838
5899   	56   	52   	0   	5847   	5847
5899   	51   	51   	0   	5848   	5848
5899   	44   	42   	0   	5857   	5857
5899   	36   	41   	2065   	3793   	5858
5899   	37   	41   	0   	5858   	5858
5899   	34   	40   	0   	5859   	5859
5899   	30   	38   	0   	5861   	5861
5899   	11   	22   	3   	5874   	5877
5899   	8   	21   	0   	5878   	5878
5899   	31   	40   	2081   	3778   	5859
5899   	4   	16   	0   	5883   	5883
5899   	80   	79   	20   	5800   	5820
5899   	161   	189   	45   	5665   	5710
5899   	106   	148   	26   	5725   	5751
5899   	135   	176   	37   	5686   	5723
5899   	511   	518   	156   	5225   	5381
5899   	462   	475   	139   	5285   	5424
5899   	235   	244   	71   	5584   	5655
5899   	97   	136   	26   	5737   	5763
5899   	256   	270   	75   	5554   	5629
5899   	260   	270   	77   	5552   	5629
5899   	193   	218   	62   	5619   	5681
5899   	916   	983   	212   	4704   	4916
5899   	112   	155   	29   	5715   	5744
5899   	498   	509   	147   	5243   	5390
5899   	580   	577   	179   	5143   	5322
5899   	243   	252   	74   	5573   	5647
5899   	517   	519   	158   	5222   	5380
5899   	707   	733   	194   	4972   	5166
5899   	433   	451   	129   	5319   	5448
5899   	435   	451   	130   	5318   	5448
5899   	802   	838   	178   	4883   	5061
5899   	543   	541   	162   	5196   	5358
5899   	863   	919   	182   	4798   	4980
5899   	694   	730   	191   	4978   	5169
5899   	697   	731   	192   	4976   	5168
5899   	871   	924   	188   	4787   	4975
5899   	874   	924   	189   	4786   	4975
5899   	757   	808   	176   	4915   	5091
5899   	481   	495   	143   	5261   	5404
5899   	633   	671   	195   	5033   	5228
5899   	702   	732   	193   	4974   	5167
5899   	593   	607   	186   	5106   	5292
5899   	881   	934   	195   	4770   	4965


      D   R   A   W   /    T   I   E


////////////////// E A R T H  A R M Y /////////////////////

Unit Total Count :
ES: 603            ET: 179            EG: 192            EH: 25

Unit Killed Percentage :
ES%: 37.6451%            ET%: 100%            EG%: 100%            EH%: 100%

Total Infected ES Percentage : 12.1061%
Total Healed Percentage: 2.2022%
Total Destructed Percentage: 62.3624%

Average of Df: 112.173 Ts	    Average of Dd: 3158.11 Ts	    Average of Db: 3270.28 Ts
Df/Db% = 3.43008%    Dd/Db% = 96.5699%


////////////////// A L I E N  A R M Y /////////////////////

Unit Total Count :
AS: 694            AD: 174            AM: 132

Unit Killed Percentage :
AS%: 100%            AD%: 41.954%            AM%: 100%

Total Destructed Percentage: 89.9%

Average of Df: 64.9499 Ts	    Average of Dd: 2014.78 Ts	    Average of Db: 2079.73 Ts
Df/Db% = 3.123%    Dd/Db% = 96.877%
