////////////////// KILLED UNITS DATA /////////////////////

Td  	ID  	Tj  	Df  	Dd  	Db
1579   	2383   	350   	0   	1229   	1229
1586   	2265   	239   	27   	1320   	1347
1591   	2589   	530   	66   	995   	1061
1606   	2314   	272   	33   	1301   	1334
1609   	2274   	245   	27   	1337   	1364
1616   	2464   	433   	50   	1133   	1183
1620   	2392   	359   	1178   	83   	1261
1623   	2523   	485   	56   	1082   	1138
1626   	2382   	350   	40   	1236   	1276
1641   	2163   	163   	14   	1464   	1478
1644   	2527   	488   	58   	1098   	1156
1650   	2258   	236   	0   	1414   	1414
1685   	2230   	214   	0   	1471   	1471
1688   	2536   	495   	58   	1135   	1193
1697   	2470   	447   	48   	1202   	1250
1740   	2407   	363   	45   	1332   	1377
1762   	2200   	195   	17   	1550   	1567
1762   	2440   	413   	46   	1303   	1349
1767   	2201   	195   	17   	1555   	1572
1769   	2553   	513   	59   	1197   	1256
1798   	2244   	222   	1399   	177   	1576
1800   	2627   	584   	68   	1148   	1216
1804   	2506   	470   	53   	1281   	1334
1826   	2223   	210   	0   	1616   	1616
1826   	265   	284   	0   	1542   	1542
1827   	961   	1021   	0   	806   	806
1828   	730   	751   	7   	1070   	1077
1829   	575   	575   	19   	1235   	1254
1830   	778   	818   	0   	1012   	1012
1839   	2635   	593   	70   	1176   	1246
1844   	2581   	529   	64   	1251   	1315
1848   	579   	577   	0   	1271   	1271
1849   	472   	484   	0   	1365   	1365
1850   	458   	474   	0   	1376   	1376
1851   	976   	1034   	0   	817   	817
1852   	210   	226   	0   	1626   	1626
1853   	709   	733   	1   	1119   	1120
1864   	2311   	272   	32   	1560   	1592
1875   	450   	464   	0   	1411   	1411
1876   	194   	218   	0   	1658   	1658
1877   	828   	875   	0   	1002   	1002
1878   	238   	247   	0   	1631   	1631
1879   	728   	751   	0   	1128   	1128
1891   	421   	439   	14   	1438   	1452
1894   	2160   	163   	13   	1718   	1731
1900   	364   	369   	0   	1531   	1531
1909   	228   	239   	3   	1667   	1670
1910   	152   	182   	8   	1720   	1728
1912   	752   	795   	111   	1006   	1117
1913   	725   	750   	392   	771   	1163
1914   	473   	484   	30   	1400   	1430
1915   	550   	545   	3   	1367   	1370
1916   	22   	34   	5   	1877   	1882
1917   	784   	821   	15   	1081   	1096
1918   	727   	751   	16   	1151   	1167
1919   	2597   	548   	64   	1307   	1371
1919   	344   	359   	0   	1560   	1560
1920   	915   	981   	17   	922   	939
1921   	909   	971   	0   	950   	950
1922   	753   	795   	0   	1127   	1127
1923   	444   	459   	0   	1464   	1464
1924   	513   	518   	15   	1391   	1406
1925   	212   	227   	2   	1696   	1698
1926   	177   	197   	0   	1729   	1729
1927   	365   	369   	0   	1558   	1558
1928   	285   	300   	0   	1628   	1628
1928   	381   	405   	2   	1521   	1523
1929   	917   	983   	0   	946   	946
1929   	413   	431   	35   	1463   	1498
1930   	298   	315   	0   	1615   	1615
